epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.881,1.45603,2.46675,2.4951,1.3025,0,0.22261,0.33686,0.21425,0.12815,0.17718,0.21654,0.10625,0.02322,1.33483,4.6887,4.76624,1.20654,0,0.000322222,0.000322222,0.0681
2,47.4424,1.11989,1.53121,1.69078,1.0966,0,0.30915,0.50744,0.27725,0.18273,0.28852,0.43641,0.24047,0.0902,1.06931,2.83909,1.97203,1.07897,0,0.000649066,0.000649066,0.0350935
3,57.9922,1.08272,1.43648,1.59267,1.09746,0,0.41645,0.63276,0.42739,0.2911,0.40017,0.59879,0.38254,0.16297,0.98562,1.66477,1.55866,1.03366,0,0.000969309,0.000969309,0.00208042
4,69.403,1.06631,1.39238,1.5201,1.09174,0,0.45279,0.61727,0.46858,0.33134,0.43757,0.5993,0.44628,0.21005,0.93548,1.51868,1.44293,1.03959,0,0.0009703,0.0009703,0.0009703
5,91.349,1.01317,1.34805,1.47043,1.0668,0,0.50936,0.61013,0.53814,0.38838,0.50222,0.5986,0.52613,0.24877,0.93761,1.30811,1.35551,1.01619,0,0.0009604,0.0009604,0.0009604
6,107.27,0.96912,1.30506,1.36417,1.0411,0,0.51037,0.63039,0.56217,0.39917,0.49543,0.59014,0.51582,0.24155,0.91364,1.67346,1.32832,1.04845,0,0.0009505,0.0009505,0.0009505
7,130.795,0.94629,1.24335,1.32725,1.02817,0,0.41248,0.48023,0.40414,0.28172,0.3917,0.48567,0.37857,0.19401,0.97536,1.25599,1.51935,1.08694,0,0.0009406,0.0009406,0.0009406
8,139.495,0.92301,1.2096,1.33834,1.0151,0,0.56533,0.66958,0.64683,0.46208,0.55225,0.67915,0.63284,0.31961,0.87258,1.33167,1.18911,1.00047,0,0.0009307,0.0009307,0.0009307
9,149.586,0.91523,1.18366,1.22565,1.00844,0,0.52512,0.66752,0.58408,0.42073,0.50481,0.6538,0.56197,0.2835,0.83744,1.14701,1.17446,0.9886,0,0.0009208,0.0009208,0.0009208
10,158.635,0.89635,1.20385,1.23066,1.01213,0,0.53412,0.66274,0.61326,0.43637,0.53998,0.65485,0.61268,0.31312,0.88481,1.19524,1.2567,1.00946,0,0.0009109,0.0009109,0.0009109
11,176.028,0.88109,1.14658,1.18054,1.00461,0,0.57187,0.59685,0.58234,0.41005,0.56142,0.58799,0.57264,0.28561,0.84503,1.10303,1.27527,0.98581,0,0.000901,0.000901,0.000901
12,198.351,0.84711,1.14624,1.17059,0.97429,0,0.55067,0.66023,0.58083,0.41668,0.5417,0.64786,0.56871,0.29277,0.83321,1.09515,1.26992,0.98263,0,0.0008911,0.0008911,0.0008911
13,218.979,0.88123,1.14926,1.1863,0.99378,0,0.54309,0.62465,0.59795,0.42079,0.52563,0.62033,0.5772,0.29846,0.87316,1.0991,1.27341,0.99877,0,0.0008812,0.0008812,0.0008812
14,245.384,0.86645,1.11296,1.139,0.98317,0,0.53534,0.68728,0.6253,0.46525,0.52947,0.6845,0.61705,0.33491,0.81639,1.12948,1.13155,0.9699,0,0.0008713,0.0008713,0.0008713
15,267.005,0.84717,1.13912,1.16097,0.97909,0,0.41578,0.66347,0.50646,0.36136,0.41842,0.66772,0.50586,0.2582,0.84469,1.06986,1.45617,0.99243,0,0.0008614,0.0008614,0.0008614
16,277.874,0.82494,1.08989,1.13735,0.96756,0,0.56,0.70059,0.63916,0.46766,0.54939,0.68514,0.62433,0.3274,0.82631,1.03688,1.23041,0.98894,0,0.0008515,0.0008515,0.0008515
17,292.831,0.79726,1.04656,1.08465,0.9689,0,0.55947,0.70226,0.64338,0.48121,0.55233,0.69802,0.63161,0.31451,0.79969,1.02473,1.1373,0.97239,0,0.0008416,0.0008416,0.0008416
18,310.457,0.81556,1.11764,1.10881,0.98051,0,0.53167,0.70774,0.60783,0.44169,0.52845,0.70119,0.60618,0.31737,0.84653,1.0321,1.21485,1.00727,0,0.0008317,0.0008317,0.0008317
19,320.272,0.79533,1.04908,1.07749,0.96542,0,0.60019,0.66506,0.65089,0.48744,0.58247,0.6558,0.63522,0.3442,0.78683,1.09785,1.08849,0.96277,0,0.0008218,0.0008218,0.0008218
20,336.969,0.77772,1.04611,1.03514,0.94766,0,0.5109,0.65945,0.58519,0.43294,0.50475,0.65298,0.57438,0.30003,0.80773,1.04266,1.2129,0.96831,0,0.0008119,0.0008119,0.0008119
21,356.329,0.78379,1.03707,1.05734,0.95512,0,0.51053,0.73395,0.61488,0.46986,0.5119,0.73722,0.61174,0.31826,0.77296,1.03572,1.16319,0.95829,0,0.000802,0.000802,0.000802
22,386.808,0.77049,1.02294,1.00022,0.96005,0,0.58993,0.63423,0.63634,0.48068,0.53765,0.67993,0.61262,0.32346,0.77151,1.13556,1.18005,0.96473,0,0.0007921,0.0007921,0.0007921
23,396.532,0.76008,1.01877,1.02473,0.95584,0,0.54257,0.65848,0.62719,0.4646,0.55039,0.65187,0.61115,0.30967,0.79038,1.18778,1.26213,0.96954,0,0.0007822,0.0007822,0.0007822
24,405.609,0.75178,1.02814,0.98639,0.93617,0,0.54064,0.74472,0.66218,0.49052,0.53329,0.73959,0.65119,0.34387,0.77986,0.97778,1.11633,0.96739,0,0.0007723,0.0007723,0.0007723
25,426.387,0.76143,1.01137,1.00433,0.95932,0,0.61748,0.69654,0.68129,0.52503,0.60998,0.68805,0.66886,0.34859,0.74193,1.02239,0.9766,0.9461,0,0.0007624,0.0007624,0.0007624
26,439.593,0.74395,0.98707,1.00464,0.94699,0,0.54409,0.71617,0.61267,0.46947,0.56108,0.68288,0.60524,0.32778,0.78154,0.97051,1.2565,0.96055,0,0.0007525,0.0007525,0.0007525
27,466.216,0.74055,1.01497,1.01396,0.94878,0,0.5807,0.6918,0.64297,0.49315,0.57809,0.68581,0.6354,0.33673,0.75905,1.04841,1.01732,0.95824,0,0.0007426,0.0007426,0.0007426
28,477.8,0.74021,1.01322,0.98051,0.93309,0,0.457,0.63907,0.51363,0.38038,0.4637,0.63285,0.50073,0.25564,0.81013,1.07153,1.45901,0.96052,0,0.0007327,0.0007327,0.0007327
29,489.675,0.7366,1.0064,0.94573,0.92797,0,0.57268,0.7224,0.65681,0.50303,0.56303,0.70916,0.64109,0.34638,0.72735,0.98954,1.05744,0.94265,0,0.0007228,0.0007228,0.0007228
30,508.723,0.70827,0.94628,0.9264,0.92534,0,0.57205,0.73295,0.68296,0.5145,0.56365,0.72187,0.66735,0.3502,0.75026,1.02881,1.07887,0.94831,0,0.0007129,0.0007129,0.0007129
31,528.806,0.71297,1.00503,0.91177,0.92542,0,0.57973,0.74248,0.68488,0.52383,0.57737,0.71718,0.67382,0.36243,0.72822,0.96846,1.03891,0.93623,0,0.000703,0.000703,0.000703
32,542.023,0.70138,0.97878,0.87586,0.91108,0,0.59658,0.67666,0.65902,0.49417,0.59184,0.66928,0.65066,0.36128,0.77539,0.97153,1.01049,0.95971,0,0.0006931,0.0006931,0.0006931
33,555.856,0.70998,0.98825,0.91016,0.92276,0,0.6094,0.73672,0.69795,0.53514,0.60366,0.72951,0.68633,0.37758,0.72523,0.9655,0.98134,0.94762,0,0.0006832,0.0006832,0.0006832
34,585.526,0.69975,0.93172,0.89832,0.91963,0,0.5266,0.6789,0.60224,0.44799,0.52086,0.67553,0.5954,0.31363,0.7995,0.94966,1.34504,0.95616,0,0.0006733,0.0006733,0.0006733
35,611.323,0.76184,0.98683,1.40645,0.92461,0,0.63044,0.68791,0.68688,0.52627,0.6269,0.6697,0.67067,0.3802,0.74315,1.01102,0.96366,0.9528,0,0.0006634,0.0006634,0.0006634
36,629.01,0.71866,0.97012,0.90251,0.92237,0,0.57063,0.69587,0.6362,0.48584,0.56163,0.68603,0.61897,0.32964,0.75528,1.06546,1.11308,0.9508,0,0.0006535,0.0006535,0.0006535
37,651.156,0.69813,0.96334,0.89797,0.92277,0,0.64788,0.69508,0.6954,0.53439,0.63458,0.68134,0.6772,0.37215,0.76193,1.03649,0.97968,0.96108,0,0.0006436,0.0006436,0.0006436
38,679.002,0.69398,0.96108,0.88406,0.91259,0,0.42682,0.70656,0.54766,0.41352,0.41147,0.70836,0.51993,0.27301,0.7472,1.00316,1.33491,0.95668,0,0.0006337,0.0006337,0.0006337
39,695.047,0.69796,0.95637,0.89142,0.9135,0,0.63057,0.68423,0.69148,0.52428,0.61606,0.68528,0.67966,0.37326,0.75584,0.99048,0.94958,0.9606,0,0.0006238,0.0006238,0.0006238
40,705.07,0.68526,0.95817,0.87785,0.91615,0,0.53701,0.74337,0.66962,0.51743,0.52992,0.73412,0.65654,0.36774,0.74775,1.00935,1.11895,0.95777,0,0.0006139,0.0006139,0.0006139
41,716.25,0.66379,0.89811,0.84809,0.90062,0,0.5916,0.6935,0.68086,0.52833,0.57806,0.69085,0.66798,0.37756,0.71849,0.93431,0.97928,0.94549,0,0.000604,0.000604,0.000604
